source_kind,source_path,source_sha256,target_path,current_sha256,current_size_bytes,decision
Git包恢复,历史资料/BEH/00_Current/05_开发总路线图_先解释后开发_v1.0.md,53785e4a9985d0e1eacffb7a25beef9a7f6d0556c9e0f757079fc1c086df29c2,历史资料/BEH/00_Current/05_开发总路线图_先解释后开发_v1.0.md,53785e4a9985d0e1eacffb7a25beef9a7f6d0556c9e0f757079fc1c086df29c2,2684,保留
Git包恢复,历史资料/BEH/00_START_HERE_项目入口与文档顺序_v1.0_2026-08-19.md,7dba8307bedfe8d3dc82475b0c0611fcd51eb7ece21ef63d15644ea25548a031,历史资料/BEH/00_START_HERE_项目入口与文档顺序_v1.0_2026-08-19.md,7dba8307bedfe8d3dc82475b0c0611fcd51eb7ece21ef63d15644ea25548a031,5110,保留
Git包恢复,历史资料/BEH/ADDON_MANIFEST_交互与测试补充规范_v1.0_2026-08-19.json,41517458dd50899ff2b75ffef615be34ddb3e225f6a1c218c02275a407c85b9b,历史资料/BEH/ADDON_MANIFEST_交互与测试补充规范_v1.0_2026-08-19.json,41517458dd50899ff2b75ffef615be34ddb3e225f6a1c218c02275a407c85b9b,1312,保留
Git包恢复,历史资料/BEH/ADDON_README_交互与测试补充规范_v1.0_2026-08-19.md,058d191050fa72d641287ead64084ea1f624b2cee96db53128a9635473fc58bb,历史资料/BEH/ADDON_README_交互与测试补充规范_v1.0_2026-08-19.md,058d191050fa72d641287ead64084ea1f624b2cee96db53128a9635473fc58bb,1561,保留
Git包恢复,历史资料/BEH/BEH_交互与测试补充规范_新增文档包_v1.0_2026-08-19.zip,32cee72fedfaf7e733b670d682da006f18606ab0d0caa5558bf28a4c23d2f3bb,历史资料/BEH/BEH_交互与测试补充规范_新增文档包_v1.0_2026-08-19.zip,32cee72fedfaf7e733b670d682da006f18606ab0d0caa5558bf28a4c23d2f3bb,13194,保留
Git包恢复,历史资料/BEH/BEH图源与代码分析工作台_新项目文档集_v1.0_2026-08-19.zip,da7a691eb03b01f82b70742c998e5c54acca69f84372bd36725c6df2e681fb7d,历史资料/BEH/BEH图源与代码分析工作台_新项目文档集_v1.0_2026-08-19.zip,da7a691eb03b01f82b70742c998e5c54acca69f84372bd36725c6df2e681fb7d,60122,保留
Git包恢复,历史资料/BEH/DOCUMENT_MANIFEST.json,a276ad9e1ee2f1119498646e94d307008c05d62a1f73973b6d073168bd3875ac,历史资料/BEH/DOCUMENT_MANIFEST.json,a276ad9e1ee2f1119498646e94d307008c05d62a1f73973b6d073168bd3875ac,6187,保留
Git包恢复,历史资料/BEH/PROJECT_INSTRUCTIONS_项目运行规则_v1.0_2026-08-19.md,8e0eafd82f46d03c479cacb31018146ce3414aeee00b747f882c208a70aabede,历史资料/BEH/PROJECT_INSTRUCTIONS_项目运行规则_v1.0_2026-08-19.md,8e0eafd82f46d03c479cacb31018146ce3414aeee00b747f882c208a70aabede,4834,保留
Git包恢复,历史资料/BEH/README.md,d05d883a83ac6c984579232759efbe7c27e167a04b5676016f5a81d5edcfa748,历史资料/BEH/README.md,d05d883a83ac6c984579232759efbe7c27e167a04b5676016f5a81d5edcfa748,679,保留
Git包恢复,历史资料/README.md,3d6a4836386c67401f4ae71ee291eb66601ad7525c5cb68593f14cd61ea27e14,历史资料/README.md,78a0e86935161038327a76be66966c9361dfaed03d1587257016483eedf29efb,7559,保留；已调整导航/现行记录，原输入仍由来源包或历史版本保留
Git包恢复,历史资料/后置能力/27_精雕细琢与高级能力路线_后置_v1.0.md,3a91a46c4068e0ee149ff839c0c12b14bdcc107e319d8bbaac45be57bc29a1a5,历史资料/后置能力/27_精雕细琢与高级能力路线_后置_v1.0.md,3a91a46c4068e0ee149ff839c0c12b14bdcc107e319d8bbaac45be57bc29a1a5,1607,保留
Git包恢复,历史资料/旧入口/00_从这里开始_BEH统一导航.md,58409dd079c773868f1fe6d768f6a6a8b2f07054f0e70ef8cd91b8564bff29db,历史资料/旧入口/00_从这里开始_BEH统一导航.md,58409dd079c773868f1fe6d768f6a6a8b2f07054f0e70ef8cd91b8564bff29db,7151,保留
Git包恢复,历史资料/旧文档包/BEH_AI图源_公司使用版.zip,e5f004f697e5bfcbca9d97fd4420319475dbe2abe20f94cb4180f93bf1b6df4d,历史资料/旧文档包/BEH_AI图源_公司使用版.zip,e5f004f697e5bfcbca9d97fd4420319475dbe2abe20f94cb4180f93bf1b6df4d,25038,保留
